time, Quad.Est.E.Yaw
1.535016,0.015933
1.540016,0.005034
1.545016,0.003940
1.550016,-0.002729
1.555017,-0.002524
1.560017,-0.003310
1.565017,-0.002595
1.570017,-0.010054
1.575018,-0.011342
1.580018,0.004761
1.585018,0.007082
1.590018,-0.006871
1.595019,-0.006392
1.600019,-0.010811
1.605019,-0.009074
1.610019,-0.013247
1.615019,-0.012468
1.620020,-0.014384
1.625020,-0.011634
1.630020,-0.012365
1.635020,-0.013953
1.640021,-0.011126
1.645021,-0.009642
1.650021,-0.021649
1.655021,-0.020331
1.660022,-0.017530
1.665022,-0.017630
1.670022,-0.006266
1.675022,-0.007290
1.680022,-0.000421
1.685023,0.000009
1.690023,-0.006438
1.695023,-0.006242
1.700023,-0.001012
1.705024,-0.001121
1.710024,-0.011292
1.715024,-0.012471
1.720024,-0.008377
1.725025,-0.010071
1.730025,-0.010197
1.735025,-0.011463
1.740025,-0.021962
1.745026,-0.025031
1.750026,-0.036092
1.755026,-0.036465
1.760026,-0.027985
1.765026,-0.027848
1.770027,-0.033913
1.775027,-0.035789
1.780027,-0.039439
1.785027,-0.040621
1.790028,-0.027818
1.795028,-0.031280
1.800028,-0.034668
1.805028,-0.036219
1.810029,-0.038665
1.815029,-0.040665
1.820029,-0.034918
1.825029,-0.034226
1.830029,-0.037319
1.835030,-0.035981
1.840030,-0.019196
1.845030,-0.019702
1.850030,-0.013351
1.855031,-0.013087
1.860031,-0.013425
1.865031,-0.012262
1.870031,-0.014652
1.875032,-0.013798
1.880032,-0.021247
1.885032,-0.021975
1.890032,-0.027920
1.895033,-0.028419
1.900033,-0.016421
1.905033,-0.016196
1.910033,-0.022959
1.915033,-0.024870
1.920034,-0.027632
1.925034,-0.024723
1.930034,-0.024685
1.935034,-0.024770
1.940035,-0.022602
1.945035,-0.023949
1.950035,-0.006770
1.955035,-0.009910
1.960036,0.004581
1.965036,0.006130
1.970036,0.004685
1.975036,0.005346
1.980036,-0.002005
1.985037,-0.002821
1.990037,0.003245
1.995037,0.002893
2.000037,-0.005580
2.005037,-0.003699
2.010037,-0.006144
2.015036,-0.007918
2.020036,-0.022062
2.025036,-0.024855
2.030035,-0.029038
