time, Quad.MagYaw, Quad.Est.Yaw, Quad.Yaw
0.814993,nan,-0.002586,0.003719
0.819993,-0.165263,-0.013966,0.003741
0.824993,nan,-0.015231,0.003754
0.829993,-0.143554,-0.024904,0.003762
0.834993,nan,-0.024549,0.003766
0.839993,-0.039899,-0.025463,0.003767
0.844993,nan,-0.027865,0.003767
0.849993,-0.067614,-0.030021,0.003769
0.854993,nan,-0.031355,0.003768
0.859993,0.026107,-0.026847,0.003765
0.864992,nan,-0.027466,0.003759
0.869992,-0.035384,-0.030537,0.003754
0.874992,nan,-0.030371,0.003750
0.879992,-0.076543,-0.033554,0.003746
0.884992,nan,-0.036056,0.003738
0.889992,-0.072948,-0.041299,0.003724
0.894992,nan,-0.041355,0.003701
0.899992,-0.068741,-0.044003,0.003672
0.904992,nan,-0.040213,0.003636
0.909992,-0.000971,-0.036842,0.003594
0.914992,nan,-0.036148,0.003541
0.919992,0.149166,-0.023293,0.003478
0.924992,nan,-0.023605,0.003409
0.929992,0.225599,-0.005556,0.003331
0.934992,nan,-0.008023,0.003248
0.939991,-0.076881,-0.013372,0.003163
0.944991,nan,-0.014161,0.003080
0.949991,0.047231,-0.008985,0.003000
0.954991,nan,-0.009281,0.002929
0.959991,0.027220,-0.004967,0.002868
0.964991,nan,0.000184,0.002817
0.969991,-0.013217,-0.001755,0.002773
0.974991,nan,-0.000424,0.002733
0.979991,0.024355,0.002720,0.002699
0.984991,nan,0.002026,0.002668
0.989991,0.009345,0.003029,0.002638
0.994991,nan,0.000954,0.002610
0.999991,-0.057884,-0.001632,0.002584
1.004991,nan,-0.000446,0.002558
1.009991,-0.049643,-0.003278,0.002533
1.014991,nan,-0.004597,0.002507
1.019992,0.092842,0.003037,0.002482
1.024992,nan,0.002341,0.002457
1.029992,-0.065073,-0.003368,0.002433
1.034992,nan,0.000842,0.002410
1.039993,0.139383,0.009180,0.002388
1.044993,nan,0.008264,0.002365
1.049993,0.060330,0.013128,0.002338
1.054993,nan,0.013248,0.002310
1.059994,0.171644,0.025856,0.002279
1.064994,nan,0.026356,0.002243
1.069994,-0.000271,0.024038,0.002208
1.074994,nan,0.024225,0.002174
1.079994,0.067192,0.027501,0.002141
1.084995,nan,0.028815,0.002105
1.089995,-0.046543,0.021431,0.002068
1.094995,nan,0.022789,0.002030
1.099995,0.070060,0.027361,0.001986
1.104996,nan,0.027612,0.001938
1.109996,-0.030040,0.022921,0.001886
1.114996,nan,0.024681,0.001830
1.119996,0.001353,0.023807,0.001771
1.124997,nan,0.023404,0.001708
1.129997,0.051186,0.027316,0.001642
1.134997,nan,0.028076,0.001575
1.139997,0.172651,0.039878,0.001509
1.144997,nan,0.040368,0.001441
1.149998,0.095849,0.044398,0.001372
1.154998,nan,0.043764,0.001302
1.159998,-0.017175,0.040771,0.001234
1.164998,nan,0.039092,0.001171
1.169999,-0.147080,0.024080,0.001114
1.174999,nan,0.023690,0.001063
1.179999,-0.027172,0.018815,0.001017
1.184999,nan,0.019094,0.000972
